City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Dvinskoy,RU,62.1535,45.1175,7.83,95,93,7.16,overcast clouds
70,Kyaukse,MM,21.6,96.1333,56.86,51,4,3.2,clear sky
71,Panorama,GR,40.5878,23.0315,44.42,53,20,1.99,few clouds
72,Bengkulu,ID,-3.8004,102.2655,75.85,86,100,3.87,overcast clouds
73,Hambantota,LK,6.1241,81.1185,74.91,81,21,13.0,few clouds
74,Dikson,RU,73.5069,80.5464,-2.56,90,100,18.07,overcast clouds
75,Ponta Do Sol,PT,32.6667,-17.1,66.0,83,32,12.95,scattered clouds
76,Taltal,CL,-25.4,-70.4833,66.15,77,5,4.88,clear sky
77,Hilo,US,19.7297,-155.09,77.25,70,16,5.01,few clouds
78,Salalah,OM,17.0151,54.0924,66.58,68,2,4.72,clear sky
79,Peace River,CA,56.2501,-117.286,-2.7,92,100,3.22,overcast clouds
80,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.08,62,28,10.45,scattered clouds
81,Hoi An,VN,15.8794,108.335,67.96,86,99,9.04,overcast clouds
82,Muisne,EC,0.6,-80.0333,74.75,86,84,4.97,broken clouds
83,Karakol,KG,42.4907,78.3936,14.02,60,51,7.43,broken clouds
84,Port Blair,IN,11.6667,92.75,72.12,76,31,6.49,scattered clouds
85,Maragogi,BR,-9.0122,-35.2225,78.89,76,11,6.76,few clouds
86,Avarua,CK,-21.2078,-159.775,71.65,100,100,9.22,heavy intensity rain
87,Marawi,PH,7.9986,124.2928,70.32,90,100,1.39,overcast clouds
88,Lompoc,US,34.6391,-120.4579,65.21,72,75,3.0,broken clouds
89,Virginia Beach,US,36.8529,-75.978,41.02,79,69,3.0,broken clouds
90,Kerman,IR,30.2832,57.0788,48.27,30,0,2.98,clear sky
91,Severo-Kurilsk,RU,50.6789,156.125,29.05,74,100,21.43,light snow
92,Marsh Harbour,BS,26.5412,-77.0636,64.63,52,0,9.78,clear sky
93,Port Elizabeth,ZA,-33.918,25.5701,73.09,100,100,8.05,mist
94,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,72,1.01,broken clouds
95,Flinders,AU,-34.5833,150.8552,89.06,71,26,5.99,scattered clouds
96,East London,ZA,-33.0153,27.9116,77.18,73,100,2.71,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,82.71,39,27,5.99,scattered clouds
98,Tasiilaq,GL,65.6145,-37.6368,-1.97,98,96,5.26,overcast clouds
99,Voznesenye,RU,61.0106,35.4781,16.59,96,100,6.62,overcast clouds
100,Brandon,US,27.9378,-82.2859,60.89,64,0,1.99,clear sky
101,Albany,US,42.6001,-73.9662,20.03,65,15,1.9,few clouds
102,Bluff,NZ,-46.6,168.3333,75.79,80,37,3.31,scattered clouds
103,Kaitangata,NZ,-46.2817,169.8464,70.93,71,65,5.79,broken clouds
104,Clarksdale,US,34.2001,-90.5709,58.91,50,0,5.75,clear sky
105,Vaini,TO,-21.2,-175.2,80.1,74,100,15.46,light rain
106,Bali,ID,-8.5,115.0,81.57,78,86,3.56,overcast clouds
107,Antakya,TR,36.2066,36.1572,43.34,91,69,1.7,broken clouds
108,Panacan,PH,9.2463,118.4082,80.82,79,69,11.97,broken clouds
109,Nome,US,64.5011,-165.4064,19.47,42,0,12.66,clear sky
110,Mount Gambier,AU,-37.8333,140.7667,66.11,52,75,19.57,broken clouds
111,Toora-Khem,RU,52.4675,96.11,-25.98,100,92,0.98,overcast clouds
112,Georgetown,MY,5.4112,100.3354,79.9,80,20,5.75,few clouds
113,Esperance,AU,-33.8667,121.9,62.26,57,87,16.89,overcast clouds
114,Cherskiy,RU,68.75,161.3,-10.61,91,100,3.62,overcast clouds
115,Paka,MY,4.6374,103.4368,74.77,89,65,3.42,broken clouds
116,Sitka,US,57.0531,-135.33,35.49,80,75,0.0,broken clouds
117,Ballarat,AU,-37.5662,143.8496,67.17,64,62,10.16,broken clouds
