City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Rocha,UY,2022-01-29 01:52:00,-34.4833,-54.3333,59.18,78,0,3.06
59,Husavik,IS,2022-01-29 01:52:00,66.0449,-17.3389,26.51,95,100,30.74
60,Talnakh,RU,2022-01-29 01:52:01,69.4865,88.3972,-0.8,95,100,10.74
61,Bergen,NO,2022-01-29 01:52:01,60.392,5.328,46.81,100,75,12.66
62,Hobyo,SO,2022-01-29 01:52:02,5.3505,48.5268,77.09,67,98,18.5
63,Cartagena,CO,2022-01-29 01:49:02,10.3997,-75.5144,78.42,83,20,9.22
64,Sitka,US,2022-01-29 01:52:02,57.0531,-135.33,42.69,81,100,14.97
65,Khatanga,RU,2022-01-29 01:52:03,71.9667,102.5,-4.65,89,100,6.04
66,Waingapu,ID,2022-01-29 01:52:03,-9.6567,120.2641,85.12,69,100,11.65
67,Jamestown,US,2022-01-29 01:49:58,42.097,-79.2353,16.92,92,100,10.36
68,Tiksi,RU,2022-01-29 01:52:04,71.6872,128.8694,-9.56,99,35,7.31
69,Butaritari,KI,2022-01-29 01:52:04,3.0707,172.7902,81.48,79,36,16.13
70,Guayaramerin,BO,2022-01-29 01:52:05,-10.8368,-65.3614,73.56,98,100,2.08
71,Zemio,CF,2022-01-29 01:52:05,5.0314,25.1361,65.64,30,32,4.41
72,Teya,RU,2022-01-29 01:52:05,60.3778,92.6267,5.58,95,100,5.57
73,Chifeng,CN,2022-01-29 01:50:26,42.2683,118.9636,16.07,35,0,4.97
74,Port Elizabeth,ZA,2022-01-29 01:47:07,-33.918,25.5701,66.09,94,20,9.22
75,Saskylakh,RU,2022-01-29 01:47:42,71.9167,114.0833,-1.68,92,100,4.34
76,Bairiki,KI,2022-01-29 01:52:06,1.3292,172.9752,87.8,62,20,13.8
77,Seoul,KR,2022-01-29 01:52:07,37.5683,126.9778,27.91,43,0,9.22
78,Yellowknife,CA,2022-01-29 01:52:07,62.456,-114.3525,-4.59,88,20,9.22
79,Huichapan,MX,2022-01-29 01:52:08,20.3833,-99.65,49.42,81,90,13.24
80,Ulaangom,MN,2022-01-29 01:52:08,49.9811,92.0667,-23.12,87,94,3.15
81,Hermanus,ZA,2022-01-29 01:52:09,-34.4187,19.2345,62.91,77,52,11.88
82,Ixtapa,MX,2022-01-29 01:52:09,20.7,-105.2,73.22,85,11,1.01
83,Lorengau,PG,2022-01-29 01:47:27,-2.0226,147.2712,81.61,79,99,2.98
84,Bluff,NZ,2022-01-29 01:52:10,-46.6,168.3333,71.8,60,88,6.78
85,Olavarria,AR,2022-01-29 01:52:10,-36.8927,-60.3225,61.12,78,0,6.35
86,Faanui,PF,2022-01-29 01:52:11,-16.4833,-151.75,81.48,73,6,14.88
87,Cherskiy,RU,2022-01-29 01:52:11,68.75,161.3,-10.53,95,100,5.79
88,Sembe,CG,2022-01-29 01:52:12,1.6481,14.5806,69.57,37,70,1.34
89,Sobolevo,RU,2022-01-29 01:52:12,54.4299,31.8996,31.23,98,100,10.33
90,Avarua,CK,2022-01-29 01:52:12,-21.2078,-159.775,80.65,89,75,11.5
91,Loughton,GB,2022-01-29 01:52:13,52.0304,-0.7864,51.01,90,60,1.01
92,Ahuimanu,US,2022-01-29 01:52:13,21.4447,-157.8378,82.11,60,20,1.99
93,Hay River,CA,2022-01-29 01:47:18,60.8156,-115.7999,-0.42,78,75,9.22
94,Kirakira,SB,2022-01-29 01:52:14,-10.4544,161.9205,83.7,77,99,10.65
95,Murray Bridge,AU,2022-01-29 01:53:14,-35.1167,139.2667,83.32,53,0,13.96
96,Masvingo,ZW,2022-01-29 01:53:15,-20.0637,30.8277,67.35,93,100,3.06
97,Urumqi,CN,2022-01-29 01:53:15,43.801,87.6005,-6.65,84,75,2.24
98,Ewa Beach,US,2022-01-29 01:53:16,21.3156,-158.0072,81.77,56,0,13.0
99,Gidole,ET,2022-01-29 01:53:16,5.65,37.3667,57.88,45,100,5.12
100,Lubbenau,DE,2022-01-29 01:53:16,51.8667,13.9667,37.76,85,100,11.83
101,Provideniya,RU,2022-01-29 01:53:17,64.3833,-173.3,1.08,97,18,2.66
102,Zonguldak,TR,2022-01-29 01:53:17,41.25,31.8333,27.0,93,100,5.59
103,Vila Franca Do Campo,PT,2022-01-29 01:53:18,37.7167,-25.4333,58.19,85,31,9.57
104,Pandan,PH,2022-01-29 01:53:18,14.0453,124.1694,80.37,84,67,3.87
105,Filingue,NE,2022-01-29 01:53:19,14.3521,3.3168,66.24,16,0,12.44
106,Upernavik,GL,2022-01-29 01:53:19,72.7868,-56.1549,6.4,73,100,2.98
107,Mount Gambier,AU,2022-01-29 01:53:19,-37.8333,140.7667,69.71,68,100,17.27
108,Lamovita,BA,2022-01-29 01:53:20,44.9256,16.9072,36.32,94,38,2.3
109,Coihaique,CL,2022-01-29 01:53:20,-45.5752,-72.0662,71.55,28,0,9.22
110,San Patricio,US,2022-01-29 01:53:21,28.017,-97.5169,52.93,47,0,6.78
111,Cidreira,BR,2022-01-29 01:53:21,-30.1811,-50.2056,69.94,74,14,12.68
112,Fortuna,US,2022-01-29 01:53:22,40.5982,-124.1573,54.66,72,0,5.75
113,Saint-Philippe,RE,2022-01-29 01:53:22,-21.3585,55.7679,72.99,76,0,4.81
114,Biak,ID,2022-01-29 01:53:23,-0.9131,122.8766,80.31,74,100,2.46
115,Requena,ES,2022-01-29 01:53:23,39.4883,-1.1004,38.71,31,0,4.07
116,Srednekolymsk,RU,2022-01-29 01:53:23,67.45,153.6833,-7.85,93,100,3.6
117,Athabasca,CA,2022-01-29 01:53:24,54.7169,-113.2854,37.81,77,100,7.99
118,Fonte Boa,BR,2022-01-29 01:53:24,-2.4959,-66.2662,72.48,98,75,2.64
119,Santa Isabel Do Rio Negro,BR,2022-01-29 01:53:25,-0.4139,-65.0192,74.21,98,100,2.01
120,Kaeo,NZ,2022-01-29 01:51:18,-35.1,173.7833,72.32,72,100,13.67
121,Clyde River,CA,2022-01-29 01:53:25,70.4692,-68.5914,-9.17,84,100,33.38
122,Hervey Bay,AU,2022-01-29 01:53:26,-25.2986,152.8535,87.04,63,3,10.0
123,Vao,NC,2022-01-29 01:53:26,-22.6667,167.4833,78.35,85,100,24.18
124,Chokurdakh,RU,2022-01-29 01:53:27,70.6333,147.9167,-30.19,96,86,0.96
125,Zhigansk,RU,2022-01-29 01:53:27,66.7697,123.3711,-9.38,97,98,19.84
126,Codrington,AU,2022-01-29 01:53:28,-38.2667,141.9667,66.49,69,100,13.35
127,Haines Junction,CA,2022-01-29 01:53:15,60.7522,-137.5108,33.75,69,100,9.22
128,Luderitz,NA,2022-01-29 01:53:28,-26.6481,15.1594,67.89,72,0,23.67
129,Poum,NC,2022-01-29 01:53:29,-20.2333,164.0167,83.5,73,70,9.26
130,Antsohihy,MG,2022-01-29 01:53:29,-14.8796,47.9875,72.5,89,10,3.29
131,Rawson,AR,2022-01-29 01:53:30,-43.3002,-65.1023,67.78,79,41,13.82
132,Baiyin,CN,2022-01-29 01:53:30,36.5583,104.2081,7.68,78,100,4.16
133,Sao Jose Da Coroa Grande,BR,2022-01-29 01:53:30,-8.8978,-35.1478,79.03,78,100,10.69
134,Constitucion,CL,2022-01-29 01:53:31,-35.3333,-72.4167,56.93,93,5,4.85
135,Bonnyville,CA,2022-01-29 01:53:31,54.2668,-110.735,34.43,76,96,12.3
136,Pevek,RU,2022-01-29 01:53:32,69.7008,170.3133,-10.03,98,100,2.21
137,Manadhoo,MV,2022-01-29 01:53:32,5.7667,73.3833,82.27,69,88,18.05
138,Aginskoye,RU,2022-01-29 01:53:33,51.1,114.53,-3.21,89,5,5.73
139,Fukue,JP,2022-01-29 01:53:33,32.6881,128.8419,46.76,53,75,11.5
140,Divo,CI,2022-01-29 01:53:34,5.8397,-5.36,71.42,98,60,1.36
141,Almaznyy,RU,2022-01-29 01:53:34,48.0448,40.045,33.94,98,100,15.99
142,Isangel,VU,2022-01-29 01:52:47,-19.55,169.2667,80.71,94,100,9.22
143,Kalmunai,LK,2022-01-29 01:54:35,7.4167,81.8167,76.23,88,28,6.62
144,Tecoanapa,MX,2022-01-29 01:54:35,16.5167,-98.75,78.8,74,0,3.58
145,Babol,IR,2022-01-29 01:54:36,36.5513,52.679,40.98,93,0,0.0
146,Kashan,IR,2022-01-29 01:54:36,33.9831,51.4364,31.59,55,0,2.3
147,Mahebourg,MU,2022-01-29 01:54:36,-20.4081,57.7,77.29,94,75,4.61
148,Jalu,LY,2022-01-29 01:54:37,29.0331,21.5482,53.02,75,92,8.03
149,Miles City,US,2022-01-29 01:54:37,46.4083,-105.8406,41.5,59,69,12.33
150,Luba,GQ,2022-01-29 01:54:38,3.4568,8.5547,75.09,73,100,2.84
151,Sidney,AU,2022-01-29 01:52:21,-33.8679,151.2073,90.32,63,75,1.99
152,Turukhansk,RU,2022-01-29 01:54:38,65.8167,87.9833,-0.74,95,100,11.48
153,Terme,TR,2022-01-29 01:54:39,41.2092,36.9739,32.45,63,100,7.2
154,Shimoda,JP,2022-01-29 01:54:39,34.6667,138.95,48.56,54,93,2.68
155,Zhuanghe,CN,2022-01-29 01:54:40,39.7008,122.9911,22.95,39,0,5.3
156,Jumla,NP,2022-01-29 01:54:40,29.2747,82.1838,33.84,31,0,5.1
157,Karasjok,NO,2022-01-29 01:54:40,69.4719,25.5112,1.51,96,100,1.86
158,Qeshm,IR,2022-01-29 01:54:41,26.9581,56.2719,62.49,61,0,5.32
159,Cayenne,GF,2022-01-29 01:54:41,4.9333,-52.3333,75.09,90,75,4.61
160,Zarand,IR,2022-01-29 01:54:42,30.8127,56.564,39.74,52,100,0.98
161,Narok,KE,2022-01-29 01:54:42,-1.0783,35.8601,59.74,72,96,2.37
162,Kazanskoye,RU,2022-01-29 01:54:43,55.6448,69.235,0.01,98,100,3.49
163,Cape Town,ZA,2022-01-29 01:50:00,-33.9258,18.4232,66.61,67,0,1.99
164,Price,US,2022-01-29 01:54:21,39.5994,-110.8107,29.12,77,1,3.69
165,Namibe,AO,2022-01-29 01:54:44,-15.1961,12.1522,71.26,83,100,6.31
166,Xique-Xique,BR,2022-01-29 01:54:44,-10.8218,-42.7263,73.08,85,100,6.46
167,Adrar,MR,2022-01-29 01:54:44,20.5022,-10.0711,71.26,12,100,3.8
168,Tessalit,ML,2022-01-29 01:54:45,20.1986,1.0114,61.84,17,11,12.15
169,Belyy Yar,RU,2022-01-29 01:54:46,53.6039,91.3903,-7.71,66,40,2.24
170,Wiwili,NI,2022-01-29 01:54:46,13.6268,-85.8254,69.39,89,11,3.85
171,Yar-Sale,RU,2022-01-29 01:54:46,66.8333,70.8333,-6.97,99,100,8.01
172,Say,NE,2022-01-29 01:54:47,13.1007,2.3689,73.96,20,4,12.97
173,Alice Springs,AU,2022-01-29 01:54:47,-23.7,133.8833,80.15,83,100,12.66
174,Anadyr,RU,2022-01-29 01:54:48,64.75,177.4833,-5.01,76,20,4.0
175,Ancud,CL,2022-01-29 01:54:48,-41.8697,-73.8203,62.13,82,0,4.7
176,Kavieng,PG,2022-01-29 01:54:49,-2.5744,150.7967,83.59,72,100,4.83
177,Nicolas Bravo,MX,2022-01-29 01:54:49,18.45,-88.9167,70.61,94,87,2.66
178,Kahului,US,2022-01-29 01:54:11,20.8947,-156.47,79.86,68,7,7.81
179,Kiruna,SE,2022-01-29 01:54:50,67.8557,20.2251,0.52,85,34,5.75
180,Salamanca,ES,2022-01-29 01:54:50,40.8333,-6.0,29.98,48,0,6.49
181,Uva,RU,2022-01-29 01:54:51,56.9908,52.1852,15.3,96,100,5.1
182,Esperance,AU,2022-01-29 01:54:51,-33.8667,121.9,78.64,44,0,8.19
183,Bafang,CM,2022-01-29 01:54:51,5.1563,10.1788,63.99,38,100,3.6
184,Nome,US,2022-01-29 01:54:52,64.5011,-165.4064,-6.25,79,0,7.11
185,Azangaro,PE,2022-01-29 01:54:52,-14.9167,-70.2167,46.65,87,94,3.33
186,Severo-Kurilsk,RU,2022-01-29 01:54:53,50.6789,156.125,23.58,74,100,27.92
187,Verkh-Usugli,RU,2022-01-29 01:54:53,52.7,115.1667,-3.19,81,13,1.3
