City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Domoni,KM,79.59,overcast clouds,-12.2569,44.5319,Al Djadid
373,Linhares,BR,78.67,overcast clouds,-19.3911,-40.0722,Hotel Conceição
375,Mogadishu,SO,77.2,broken clouds,2.0371,45.3438,Hotel Juba
376,Tumut,AU,81.21,overcast clouds,-35.3,148.2167,Amaroo Motel
378,Nha Trang,VN,75.2,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
384,Buala,SB,84.92,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
399,Tucupita,VE,75.7,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
400,Bakel,SN,82.76,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
407,Charters Towers,AU,85.03,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
408,Ulladulla,AU,88.88,few clouds,-35.35,150.4667,Sandpiper Motel
409,Tomatlan,MX,83.77,clear sky,19.9333,-105.25,El Salvial
428,Omboue,GA,77.83,overcast clouds,-1.5746,9.2618,Hotel Olako
440,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
443,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
450,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
453,Auki,SB,85.86,overcast clouds,-8.7676,160.7034,Auki Motel
455,Bo Rai,TH,83.86,scattered clouds,12.5728,102.5371,Baiboon Resort
456,Chulucanas,PE,79.59,overcast clouds,-5.0925,-80.1625,El Diamante
460,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
466,Sola,VU,78.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
467,Vanimo,PG,81.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
469,Port-Gentil,GA,80.96,light rain,-0.7193,8.7815,Fengshui Residence
476,Madras,IN,75.96,mist,13.0878,80.2785,City home
477,Mineros,BO,76.59,scattered clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
480,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
484,Karaton,ID,82.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
485,Broken Hill,AU,78.85,light rain,-31.95,141.4333,Royal Exchange Hotel
488,Kota Belud,MY,76.86,scattered clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
495,Pamanukan,ID,78.53,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
502,Moerai,PF,80.44,broken clouds,-22.4333,-151.3333,Le Manotel
509,Isangel,VU,78.19,overcast clouds,-19.55,169.2667,Tanna Lodge
513,Namatanai,PG,82.27,light rain,-3.6667,152.4333,Seagulls Inn Namatani
517,Gisborne,NZ,77.95,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
530,Karratha,AU,86.7,heavy intensity rain,-20.7377,116.8463,ibis Styles Karratha
531,Guasdualito,VE,81.7,scattered clouds,7.2424,-70.7324,Hotel Cuibas
532,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
540,Vaitape,PF,81.07,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
